,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science
765,766,> 600,Texas A&M University-Commerce,30.3-43.2,766,-,768,-,495,-,575,7.7,69,594626,Texas,"$20,884","$8,404","$37,933",0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1
766,767,> 600,Texas A&M University-Corpus Christi,30.3-43.2,767,-,754,-,659,-,656,7.3,105,594611,Texas,"$18,925","$9,195","$42,033",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1
767,768,> 600,The University of Texas at San Antonio,30.3-43.2,768,-,699,-,496,-,632,7.6,80,761,Texas,"$19,168","$11,234","$44,133",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
768,769,> 600,Touro College,30.3-43.2,769,-,574,-,635,-,718,-,420,593738,New York,"$17,054","$11,470","$29,633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,770,> 600,Trine University,30.3-43.2,770,-,625,-,533,-,482,-,582,592556,Indiana,"$31,540","$10,570","$41,833",1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1
770,771,> 600,Utah Valley University,30.3-43.2,771,-,801,16.7,153,16.8,398,-,627,594755,Utah,"$16,066",,"$43,550",0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0
771,772,> 600,Valdosta State University,30.3-43.2,772,-,713,-,535,-,773,6.2,230,592298,Georgia,"$17,196","$8,338","$37,433",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0
772,773,> 600,Vanguard University,30.3-43.2,773,-,661,-,583,-,719,6.8,149,592043,California,"$32,430","$9,690","$38,767",0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1
773,774,> 600,Weber State University,30.3-43.2,774,-,793,17.0,91,17.2,377,-,637,594758,Utah,"$15,260","$8,400","$43,333",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
774,775,> 600,Webster University,30.3-43.2,775,-,540,16.4,222,-,681,5.0,391,593282,Missouri,"$27,100","$11,050","$41,300",0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0
775,776,> 600,West Chester University,30.3-43.2,776,-,734,15.9,366,16.9,390,-,608,594392,Pennsylvania,"$21,590","$12,942","$47,067",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
776,777,> 600,University of West Florida,30.3-43.2,777,-,769,16.2,283,-,538,5.8,279,592205,Florida,"$18,658","$9,354","$37,100",0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
777,778,> 600,University of West Georgia,30.3-43.2,778,-,773,-,696,-,782,5.9,265,592301,Georgia,"$17,010","$9,444","$37,500",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0
